x,y,z,time_board
0.08600000000000001,-0.082,1.03,1728952553.5390203
0.08600000000000001,-0.082,1.03,1728952553.539026
0.08600000000000001,-0.082,1.03,1728952553.5390325
0.08600000000000001,-0.082,1.03,1728952553.5390377
0.08600000000000001,-0.082,1.03,1728952553.5390432
0.08600000000000001,-0.082,1.03,1728952553.5390494
0.08600000000000001,-0.082,1.03,1728952553.5390549
0.08600000000000001,-0.082,1.03,1728952553.5390606
0.08600000000000001,-0.082,1.03,1728952553.5390685
0.08600000000000001,-0.082,1.03,1728952553.5390806
0.08600000000000001,-0.08,1.028,1728952553.539086
0.08600000000000001,-0.08,1.028,1728952553.539091
0.08600000000000001,-0.08,1.028,1728952553.5391033
0.08600000000000001,-0.08,1.028,1728952553.539144
0.08600000000000001,-0.08,1.028,1728952553.539176
0.08600000000000001,-0.08,1.028,1728952553.5392096
0.08600000000000001,-0.08,1.028,1728952553.5392504
0.08600000000000001,-0.08,1.028,1728952553.5392618
0.08600000000000001,-0.08,1.028,1728952553.5392675
0.08600000000000001,-0.08,1.028,1728952553.539274
0.09,-0.078,1.03,1728952553.53928
0.09,-0.078,1.03,1728952553.5392861
0.09,-0.078,1.03,1728952553.5393126
0.09,-0.078,1.03,1728952553.5393484
0.09,-0.078,1.03,1728952553.5395362
0.09,-0.078,1.03,1728952553.5395448
0.09,-0.078,1.03,1728952553.539552
0.09,-0.078,1.03,1728952553.5395627
0.09,-0.078,1.03,1728952553.5395696
0.09,-0.078,1.03,1728952553.5395758
0.084,-0.084,1.036,1728952553.5395825
0.084,-0.084,1.036,1728952553.5396
0.084,-0.084,1.036,1728952553.5396068
0.084,-0.084,1.036,1728952553.5396128
0.084,-0.084,1.036,1728952553.5396197
0.084,-0.084,1.036,1728952553.5396264
0.084,-0.084,1.036,1728952553.5396333
0.084,-0.084,1.036,1728952553.5396452
0.084,-0.084,1.036,1728952553.539652
0.084,-0.084,1.036,1728952553.5396588
0.08600000000000001,-0.084,1.034,1728952553.5396657
0.08600000000000001,-0.084,1.034,1728952553.5396726
0.08600000000000001,-0.084,1.034,1728952553.5396795
0.08600000000000001,-0.084,1.034,1728952554.017429
0.08600000000000001,-0.084,1.034,1728952554.0174682
0.08600000000000001,-0.084,1.034,1728952554.017508
0.08600000000000001,-0.084,1.034,1728952554.017557
0.08600000000000001,-0.084,1.034,1728952554.0175865
