Fp1,Fp2,C3,C4,P7,P8,O1,O2,time_board,time_marker,marker
-19459.36166755696,-187500.02235174447,56.3487477718291,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329312.624089,1730329312.621244,5.0
-19417.832126359,-187500.02235174447,115.62557406730345,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329312.6284697,1730329312.621244,5.0
-19396.843838315468,-187500.02235174447,95.55370754643768,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329312.6320996,1730329312.621244,5.0
-19444.207184816263,-187500.02235174447,34.824017861368404,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329312.6372132,1730329312.621244,5.0
-19470.67165025135,-187500.02235174447,55.23116054906375,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329312.6411045,1730329312.621244,5.0
-19433.254830033165,-187500.02235174447,112.6751437992029,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329312.6452608,1730329312.621244,5.0
-19402.789402340582,-187500.02235174447,102.5498035609488,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329312.6481264,1730329312.621244,5.0
-19426.8845828634,-187500.02235174447,44.27880576596329,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329312.6521213,1730329312.621244,5.0
-19460.680420479825,-187500.02235174447,46.223407533575006,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329312.656314,1730329312.621244,5.0
-19449.638658718904,-187500.02235174447,97.52066105850471,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329312.6612413,1730329312.621244,5.0
-19410.50075417766,-187500.02235174447,108.83064375289008,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329312.665204,1730329312.621244,5.0
-19425.834050874004,-187500.02235174447,55.141753571242525,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329312.6703637,1730329312.621244,5.0
