Fp1,C3,time_board
224.5456247980148,760.026366713806,1730245836.7016
208.47472053464887,713.6017934801333,1730245836.7055523
209.63701124632493,672.8769150825639,1730245836.7084668
226.5572817989924,706.5833457211669,1730245836.7126532
250.9430349997324,756.8077155122419,1730245836.7174318
234.76037201409008,723.414209296013,1730245836.7215917
205.03255188853169,675.2685517392816,1730245836.7254689
239.8789214943554,707.1868428214601,1730245836.7294204
252.440601878238,757.6347300570882,1730245836.7334208
191.733263937624,736.221758868904,1730245836.7365675
182.72551092213524,671.8934383265303,1730245836.7406025
221.2375666186293,690.0877583131503,1730245836.745617
247.29970065351733,745.3636223511246,1730245836.7494297
224.94795619821028,722.0731046286946,1730245836.75366
194.0131418720653,667.2666272242817,1730245836.7565963
214.71085723767965,666.3278539571588,1730245836.7606056
245.6456715638246,719.994392394351,1730245836.764635
224.9926596871209,736.5346832912784,1730245836.768545
197.2094413291742,675.5591244172007,1730245836.773545
219.0247439175539,667.0431097797286,1730245836.7776587
257.69326182523514,723.0342296402729,1730245836.781711
233.68748828023533,743.0390409277727,1730245836.7845757
179.93154286522184,692.4346914809574,1730245836.788741
207.8488716899004,662.4386504219354,1730245836.792621
243.4999040961152,718.0050871378288,1730245836.7966237
213.9508979261992,756.4053841120464,1730245836.801664
186.48060399062683,709.8019969227311,1730245836.8057115
210.59813625790315,667.6689586244772,1730245836.8096516
238.9177964827772,712.2383370683596,1730245836.8127308
210.4640257911713,758.7299655353983,1730245836.8165753
184.1113190783643,718.8097499382199,1730245836.820689
181.25029578808497,666.484316168346,1730245836.8244936
237.4425813487269,702.2024038079267,1730245836.8285947
232.3240318684616,756.5618463232335,1730245836.8335192
207.78181645653444,730.5667675217113,1730245836.8376803
172.01902532804314,668.1159935135834,1730245836.8408003
182.4572899886716,680.6329704085554,1730245836.8446982
221.17051138526327,734.5677297792113,1730245836.8487012
200.0704646194536,731.639651255566,1730245836.8527124
184.960685367666,675.9838075618514,1730245836.8567228
228.90421496679963,684.1645460324938,1730245836.8617158
247.61262507589163,738.0546019142392,1730245836.8647025
218.8235782174561,749.3645846086246,1730245836.8686483
193.99079012761,686.355016989114,1730245836.8729756
216.99073517212096,669.1441737585276,1730245836.8768036
240.12479068336376,726.7446192198538,1730245836.8808005
236.57086331497,753.7231747774094,1730245836.88472
194.16960408325247,693.5522787037229,1730245836.8897803
213.9508979261992,647.6641473369774,1730245836.892748
248.7525640431123,691.451214724924,1730245836.8955932
207.4241885452496,734.9477094349515,1730245836.900692
192.87320290484465,698.8719938840859,1730245836.904818
195.04132211700943,651.7321648278433,1730245836.9087017
224.27740386455108,695.0498455822284,1730245836.9130046
255.7039565687128,741.4967705603565,1730245836.9176855
227.94308995522144,704.8175579091976,1730245836.920924
201.52332800904847,650.4581153938908,1730245836.9238243
213.92854618174388,670.8652580815861,1730245836.9288025
227.00431668809853,722.3860290510689,1730245836.93277
218.26478460607348,708.773816677787,1730245836.9369504
201.9927146426099,652.1791997169495,1730245836.9409003
245.10922969689724,673.5921709051337,1730245836.9448235
251.0994972109196,733.7630669788202,1730245836.9488811
219.9635171846768,729.3597733211247,1730245836.951802
222.01987767456507,675.3803104615582,1730245836.956829
226.8702062213667,665.3443772011253,1730245836.9609015
235.20740690319624,717.289831315259,1730245836.9649208
247.5232180980704,736.9593664359292,1730245836.9689093
210.03934264652048,689.126633301572,1730245836.973938
220.5670142849701,672.1169557710833,1730245836.9768567
259.2578839371066,720.5978894946444,1730245836.9804316
235.0732964364644,743.7542967503425,1730245836.9853303
215.8954996938109,693.3734647480804,1730245836.9889312
221.28227010753992,655.4425544074243,1730245836.9929748
230.4688370786712,699.6096014511111,1730245836.99695
242.4046686178051,743.5754827947001,1730245837.0009933
215.8731479493556,710.2043283229266,1730245837.0039644
220.4552555626936,660.1811242319494,1730245837.0079267
244.3716221298721,693.4852234703569,1730245837.0129857
237.17436041526324,741.5414740492671,1730245837.0168042
232.1899214017297,712.417151024002,1730245837.021
220.2317381181405,663.8021068337091,1730245837.0248358
226.66904052126893,689.8865926130525,1730245837.0280051
256.4415641357379,753.5890643106776,1730245837.031984
261.82833454946694,738.5239885478006,1730245837.0360367
200.830423930934,682.7563861318096,1730245837.0400202
206.4630635336713,677.3919674625358,1730245837.0449417
221.5281392965483,725.9623081639181,1730245837.049049
213.5709182704589,735.6853170019766,1730245837.0530422
201.70214196469087,683.1363657875497,1730245837.056048
219.9188136957661,671.7369761153432,1730245837.0600631
243.2763866515621,726.6775639864879,1730245837.064062
223.4950928086153,750.8845032315854,1730245837.0680883
202.8197291874563,691.2053455359156,1730245837.073053
218.1530258837969,662.9750922888628,1730245837.0770776
242.4046686178051,713.9370696469629,1730245837.081349
234.08981968043088,742.2343781273817,1730245837.084032
219.0247439175539,702.6494386970328,1730245837.0881183
219.76235148457903,665.2773219677595,1730245837.0920749
226.40081958780524,701.9788863633736,1730245837.0961602
222.31045035248405,739.9545001929403,1730245837.1011388
216.54370028301483,701.4647962409016,1730245837.1051445
210.2181566021629,659.1752957314606,1730245837.1079948
261.6271688493692,699.9225258734854,1730245837.1121616
284.15772726031867,747.5764450522,1730245837.115994
227.8760347218555,721.2013865949377,1730245837.1201751
178.6798451757247,667.4454411799242,1730245837.12408
208.63118274583613,677.3472639736252,1730245837.1282024
244.0363459630425,726.7446192198538,1730245837.1330445
236.1908836592297,727.996316909351,1730245837.1361897
189.07340634744244,663.2656649667817,1730245837.1401825
