time_board,marker
1730330314.4325871,3.0
1730330314.435561,3.0
1730330314.439556,3.0
1730330314.44345,3.0
1730330314.4475927,3.0
1730330314.4516065,3.0
1730330314.4555893,3.0
1730330314.4605992,3.0
1730330314.4635608,3.0
1730330314.4676323,3.0
1730330314.4715247,3.0
1730330314.4756172,3.0
1730330314.4795537,3.0
1730330314.4836738,3.0
1730330314.4887106,3.0
1730330314.49166,3.0
1730330314.4954665,3.0
1730330314.4996824,3.0
1730330314.5034356,3.0
1730330314.5075417,3.0
1730330314.5115943,3.0
1730330314.516677,3.0
1730330314.5196583,3.0
1730330314.5226407,3.0
1730330314.5276864,3.0
1730330314.5317037,3.0
1730330314.535739,3.0
1730330314.539689,3.0
1730330314.5437205,3.0
1730330314.5467577,3.0
1730330314.551748,3.0
1730330314.5557678,3.0
1730330314.5597837,3.0
1730330314.5635989,3.0
1730330314.5678048,3.0
1730330314.5716136,3.0
1730330314.57485,3.0
1730330314.5786116,3.0
1730330314.5838566,3.0
1730330314.5876052,3.0
1730330314.5916696,3.0
1730330314.59566,3.0
1730330314.5996788,3.0
1730330314.6028528,3.0
1730330314.6068068,3.0
1730330314.6117263,3.0
1730330314.6158245,3.0
1730330314.6199136,3.0
1730330314.623737,3.0
1730330314.6268468,3.0
1730330314.6307373,3.0
1730330314.6351092,3.0
1730330314.6401513,3.0
1730330314.6439712,3.0
1730330314.6479173,3.0
1730330314.6509066,3.0
1730330314.6548765,3.0
1730330314.658795,3.0
1730330314.6627948,3.0
1730330314.6669576,3.0
1730330314.6718776,3.0
1730330314.6759508,3.0
1730330314.6787825,3.0
1730330314.682918,3.0
1730330314.6867414,3.0
1730330314.6909811,3.0
1730330314.6949575,3.0
1730330314.6999216,3.0
1730330314.703768,3.0
1730330314.7070308,3.0
1730330314.711007,3.0
1730330314.714945,3.0
1730330314.7190647,3.0
1730330314.7229946,3.0
1730330314.727994,3.0
1730330314.7320852,3.0
1730330314.7350087,3.0
1730330314.7390108,3.0
1730330314.743186,3.0
1730330314.7470732,3.0
1730330314.7511113,3.0
1730330314.7550707,3.0
1730330314.7601187,3.0
1730330314.7630155,3.0
1730330314.767079,3.0
1730330314.7709692,3.0
1730330314.775088,3.0
1730330314.778894,3.0
1730330314.78311,3.0
1730330314.7869637,3.0
1730330314.7901433,3.0
1730330314.7950344,3.0
1730330314.799142,3.0
1730330314.803216,3.0
1730330314.80715,3.0
1730330314.811244,3.0
1730330314.8151,3.0
1730330314.81816,3.0
1730330314.8230147,3.0
1730330314.8273203,3.0
1730330314.83127,3.0
1730330314.8352394,3.0
1730330314.8390806,3.0
1730330314.8432412,3.0
1730330314.8460712,3.0
1730330314.8504317,3.0
1730330314.855255,3.0
1730330314.8590903,3.0
1730330314.8631933,3.0
1730330314.8674254,3.0
1730330314.871173,3.0
1730330314.8743627,3.0
1730330314.8784492,3.0
1730330314.8832836,3.0
1730330314.887208,3.0
1730330314.8913825,3.0
1730330314.8943584,3.0
1730330314.8985076,3.0
1730330314.9023955,3.0
1730330314.9063792,3.0
1730330314.911356,3.0
1730330314.9153564,3.0
1730330314.9193416,3.0
1730330314.9223363,3.0
1730330314.926354,3.0
1730330314.9303384,3.0
1730330314.9344091,3.0
1730330314.9395947,3.0
1730330314.943276,3.0
1730330314.947343,3.0
1730330314.95033,3.0
1730330314.9541717,3.0
1730330314.9583514,3.0
1730330314.962185,3.0
1730330314.9663868,3.0
1730330314.9712236,3.0
1730330314.9753823,3.0
1730330314.978201,3.0
1730330314.9824097,3.0
1730330314.986394,3.0
1730330314.9904945,3.0
1730330314.9944055,3.0
1730330314.9994116,3.0
1730330315.0032604,3.0
1730330315.0063045,3.0
1730330315.0104294,3.0
1730330315.014449,3.0
1730330315.0183773,3.0
1730330315.0223885,3.0
1730330315.0274782,3.0
1730330315.0304654,3.0
1730330315.0344503,3.0
1730330315.0384755,3.0
1730330315.0424304,3.0
1730330315.0464272,3.0
1730330315.0505798,3.0
1730330315.0555468,3.0
